municipio_ibge,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,SE 18,SE 19,SE 20,SE 21,SE 22
3500105,11,32,75,113,174,243,330,404,470,567,632,699,745,801,840,888,927,958,977,991,998,1002
3500204,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,7,7,7
3500303,56,141,299,474,601,787,953,1161,1322,1467,1653,1755,1818,1853,1890,1902,1908,1921,1926,1939,1942,1942
3500402,0,0,1,1,1,2,5,5,6,8,11,14,20,23,24,24,25,25,25,25,25,27
3500501,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
3500550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500600,0,0,0,0,0,2,2,3,4,4,4,5,5,7,7,10,13,17,17,18,18,18
3500709,0,0,0,0,0,0,0,1,1,2,2,2,4,4,4,5,5,6,6,7,8,8
3500758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500808,0,0,0,4,4,6,15,18,22,28,36,41,43,43,48,59,61,62,65,71,74,74
3500907,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3501004,0,0,0,0,2,3,3,4,7,7,8,10,11,11,11,11,11,11,13,13,13,13
3501103,0,0,0,0,1,3,3,4,4,10,11,12,12,13,14,16,16,16,16,20,20,20
3501152,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3501202,1,4,7,12,21,29,38,41,42,44,47,48,48,48,48,49,52,53,55,57,58,58
3501301,0,1,5,10,19,32,43,53,69,94,113,127,150,175,204,236,260,279,314,332,341,347
3501400,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
3501509,0,0,0,0,0,1,3,4,4,4,4,5,6,6,6,6,8,8,8,8,8,8
3501608,4,17,26,42,50,69,94,113,132,162,188,209,238,260,283,314,343,359,376,381,385,389
3501707,0,0,1,2,2,3,4,8,11,11,11,11,11,13,14,14,14,15,15,15,15,15
3501806,29,59,105,141,167,197,215,219,235,242,245,248,248,249,250,251,251,251,251,251,251,251
3501905,0,0,2,2,3,5,7,7,8,9,10,10,12,18,22,27,32,35,42,44,48,48
3502002,0,0,0,0,0,0,1,1,1,4,5,5,5,5,7,8,11,12,12,12,12,12
3502101,9,30,47,68,97,133,175,224,284,334,398,452,502,548,592,627,674,719,759,783,802,819
3502200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3502309,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4
3502408,0,0,0,0,0,0,0,0,1,2,3,3,4,4,4,5,5,5,6,6,6,6
3502507,25,46,89,153,213,306,395,452,505,546,581,595,604,624,635,640,646,646,648,656,659,660
3502606,0,0,0,0,0,1,1,1,2,2,2,2,2,4,6,7,8,8,10,10,11,11
3502705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3502754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3502804,23,47,82,181,296,439,581,716,862,1047,1195,1302,1442,1527,1611,1692,1762,1819,1858,1876,1892,1901
3502903,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,5,5,5,5
3503000,0,0,0,1,1,1,4,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8
3503109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
3503208,10,18,29,40,55,63,73,82,92,106,115,119,126,137,146,152,157,161,167,169,171,172
3503307,9,21,36,59,86,135,196,251,299,347,385,432,472,538,590,635,684,723,749,782,798,809
3503356,0,0,0,0,0,0,0,0,0,0,1,1,6,8,10,15,17,20,23,27,29,30
3503406,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3503505,0,0,0,0,0,1,1,1,1,2,2,3,4,5,9,10,11,12,17,19,19,19
3503604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3503703,12,33,57,95,166,199,225,241,251,263,264,270,271,276,279,279,280,281,282,284,284,284
3503802,1,1,2,3,4,4,5,5,11,15,21,28,36,41,51,59,65,75,79,79,79,79
3503901,0,1,2,2,3,3,4,4,4,5,6,7,8,8,9,10,10,10,11,11,11,11
3503950,0,0,0,0,1,2,3,3,5,5,6,7,7,7,7,8,9,9,9,9,9,9
3504008,3,8,16,20,35,63,96,135,197,255,314,372,433,493,556,617,669,720,754,780,794,807
3504107,7,13,16,23,26,31,36,45,52,60,68,71,73,80,81,87,88,92,92,92,93,94
3504206,0,4,5,9,14,21,25,30,37,43,50,57,61,68,70,77,80,81,83,90,96,103
3504305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
3504404,0,0,0,0,3,4,4,4,7,9,14,18,21,25,32,35,40,42,42,42,43,44
3504503,0,0,0,0,0,0,0,1,1,2,4,7,7,8,8,8,8,8,9,9,9,9
3504602,1,5,8,10,16,20,26,36,40,42,42,42,43,43,44,45,45,47,47,47,47,47
3504701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3504800,0,0,1,1,1,2,2,3,5,7,7,8,8,8,8,8,10,11,11,11,12,12
3504909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505005,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,9,12,12,12,12,12,12
3505104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505203,1,3,3,3,4,6,11,14,15,15,16,17,20,23,34,46,53,59,68,73,74,75
3505302,0,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
3505351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505401,0,0,0,0,1,1,7,10,22,35,36,42,44,49,49,49,49,50,50,50,50,50
3505500,2,2,6,8,8,11,16,20,21,24,25,27,30,32,32,34,34,36,36,36,36,36
3505609,1,4,8,14,16,23,32,38,51,67,87,90,96,97,98,98,99,99,100,103,106,107
3505708,0,0,0,0,0,1,1,2,2,3,4,4,4,4,5,6,8,8,8,8,8,8
3505807,6,19,52,89,161,292,405,488,569,579,585,614,662,678,681,682,682,682,682,682,682,682
3505906,0,0,0,2,2,2,3,4,5,10,12,13,18,19,21,23,25,25,26,26,26,26
3506003,17,37,59,102,170,210,257,313,359,406,450,466,484,504,512,521,533,547,556,571,579,580
3506102,0,3,4,8,13,15,21,38,63,83,112,125,146,162,178,195,209,223,236,244,244,244
3506201,0,2,2,4,4,13,16,17,17,18,20,20,22,23,24,25,25,27,30,34,34,35
3506300,0,0,0,1,1,1,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6
3506359,1,2,2,3,4,5,9,11,12,14,15,16,20,22,22,23,24,32,36,39,39,39
3506409,0,3,3,8,10,13,17,19,26,29,33,35,36,38,41,42,44,45,46,46,46,46
3506508,6,21,32,50,78,124,162,183,225,271,301,338,368,392,403,420,431,447,458,463,465,472
3506607,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3506706,0,0,0,0,1,7,11,12,20,22,23,25,26,26,28,31,32,34,39,39,39,41
3506805,0,0,1,2,4,4,4,4,4,4,5,6,7,7,7,7,7,7,7,7,7,7
3506904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3507001,0,0,0,0,0,1,5,7,9,14,18,22,24,30,35,39,40,42,50,51,51,52
3507100,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3
3507159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3507209,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3507308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3507407,1,2,9,9,20,24,35,42,55,69,73,76,80,84,89,98,101,110,118,122,123,124
3507456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3507506,1,1,1,1,2,6,6,9,11,11,13,13,13,13,15,18,18,18,18,18,18,18
3507605,0,0,2,3,6,11,12,15,20,26,33,36,40,51,64,74,91,103,118,131,135,135
3507704,0,0,0,0,0,2,4,4,5,6,8,9,11,15,17,24,28,29,35,39,39,39
3507753,0,0,0,1,1,3,3,5,5,5,5,6,15,19,21,25,25,25,27,28,30,30
3507803,0,1,1,2,4,6,12,17,19,22,27,32,35,39,43,49,53,55,55,57,59,59
3507902,3,7,15,18,24,43,63,81,104,136,167,193,205,216,216,231,242,248,256,257,257,257
3508009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3508108,6,16,25,42,62,90,112,136,183,225,273,297,329,350,373,393,418,430,448,462,467,473
3508207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3508306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3508405,0,2,2,2,2,2,3,4,5,5,5,5,7,9,11,14,16,19,22,22,24,26
3508504,0,0,1,3,4,7,13,15,20,29,33,33,36,46,49,54,59,70,78,86,90,94
3508603,0,13,21,29,45,70,100,123,174,220,255,284,321,344,364,388,404,417,428,434,435,435
3508702,0,0,0,0,0,0,0,2,2,2,2,2,4,4,5,6,8,8,10,11,12,14
3508801,0,0,0,0,0,0,0,1,1,4,7,7,12,14,19,19,22,25,26,26,26,26
3508900,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3
3509007,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3509106,36,81,123,135,139,155,160,164,167,167,167,168,168,168,168,172,174,174,174,174,174,174
3509205,0,0,1,1,1,3,5,7,11,11,12,12,12,13,13,13,13,15,16,17,17,17
3509254,3,11,25,52,87,182,370,640,904,996,1005,1014,1071,1107,1113,1129,1148,1165,1170,1177,1184,1185
3509304,0,0,1,1,1,1,2,2,4,9,10,12,18,18,22,22,23,26,29,31,31,31
3509403,0,0,0,0,2,7,9,9,12,19,21,25,28,35,37,43,49,55,62,66,66,66
3509452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
3509502,19,66,113,187,258,385,539,708,896,1149,1413,1633,1838,2030,2246,2466,2680,2848,3051,3174,3266,3320
3509601,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3509700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3509809,0,0,1,1,1,1,1,1,2,4,5,7,9,11,14,24,31,33,38,40,40,40
3509908,0,0,0,0,1,1,2,4,6,9,9,11,11,17,21,24,29,31,34,41,46,48
3509957,0,1,1,1,3,6,16,24,29,36,40,44,45,47,48,48,48,48,48,48,48,48
3510005,0,2,3,6,9,14,21,29,42,59,75,91,124,152,166,187,201,226,242,261,264,264
3510104,0,0,0,0,1,7,10,13,13,15,16,16,16,18,20,20,20,20,20,20,20,20
3510153,0,0,0,1,1,1,6,6,11,11,12,16,17,19,20,24,24,24,24,24,24,24
3510203,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3510302,0,0,0,0,0,0,0,1,1,1,4,6,6,6,6,6,6,6,6,6,7,7
3510401,1,2,3,5,5,7,7,8,8,9,9,9,9,9,9,9,9,10,11,11,11,11
3510500,7,15,25,44,64,86,108,130,163,226,333,383,416,434,456,478,508,533,534,534,535,535
3510609,0,0,0,0,1,1,1,2,4,5,6,6,7,7,8,10,10,10,11,11,11,11
3510708,5,13,26,36,50,60,68,73,84,91,97,102,116,128,139,150,161,165,165,168,170,170
3510807,7,19,25,38,48,71,104,160,215,278,335,369,394,431,474,528,573,600,627,644,655,662
3510906,0,0,0,0,0,2,2,3,4,5,7,7,8,9,9,9,10,11,11,11,11,11
3511003,0,4,8,12,26,41,63,91,127,176,207,225,255,279,296,306,317,327,330,335,336,336
3511102,173,471,946,1729,2793,3799,4688,5254,5738,6191,6494,6658,6792,6887,6959,7028,7113,7183,7227,7247,7264,7273
3511201,0,2,5,11,12,17,19,21,25,25,26,26,26,26,27,28,28,28,28,28,28,28
3511300,0,0,3,4,6,10,12,13,14,15,17,19,19,21,25,25,26,26,26,26,26,26
3511409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3
3511508,0,0,0,0,0,0,1,2,3,7,9,11,12,12,12,12,12,14,14,14,14,16
3511607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
3511706,0,0,0,0,0,4,5,5,8,11,14,16,19,25,32,39,57,65,67,70,72,72
3511904,0,1,2,5,6,11,11,11,19,33,53,67,78,91,95,99,104,110,113,116,117,119
3512001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3512100,0,0,0,0,1,1,1,1,1,1,1,3,3,4,5,6,6,7,8,8,8,8
3512209,97,270,448,642,809,932,1148,1289,1417,1512,1576,1596,1632,1650,1665,1677,1683,1690,1696,1699,1699,1700
3512308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3512407,0,1,4,4,8,15,26,35,56,88,111,148,194,238,295,334,371,401,428,441,455,465
3512506,0,0,0,0,0,0,1,2,2,2,2,2,3,3,4,5,9,9,9,9,9,9
3512605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3512704,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,4,4
3512803,0,0,0,1,2,3,7,10,17,25,26,28,33,39,46,52,57,60,66,70,72,72
3512902,1,9,13,26,35,42,50,52,55,55,55,55,55,55,55,55,55,55,55,55,56,56
3513009,0,0,0,2,4,8,10,12,13,17,18,19,20,21,23,25,25,26,27,27,27,27
3513108,2,2,5,9,15,30,45,58,64,92,110,121,134,141,147,149,153,157,163,167,168,169
3513207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3513306,0,1,2,6,12,33,43,53,67,76,78,78,78,79,79,79,79,79,80,80,80,80
3513405,48,168,427,785,1184,1919,2704,2917,2986,3103,3141,3142,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143
